,prolific_id,headline,response_class,company_1,company_2
88,617287bc1a42a5bc56381cec,-ABSA-Mandela Children\'s Hospital enabled,Neither / Not sure / Unclear,,
7,61146df02f8f4131c8da6d3c,-ABSA-Mandela Children\'s Hospital enabled,Neither / Not sure / Unclear,,
61,5f3050933b5a04118e4a4f73,-ABSA-Mandela Children\'s Hospital enabled,Neither / Not sure / Unclear,,
34,613a802b5c0b64bb69295ff3,-ABSA-Mandela Children\'s Hospital enabled,Neither / Not sure / Unclear,,
98,617287bc1a42a5bc56381cec,Annual Review 2017,Neither / Not sure / Unclear,,
71,5f3050933b5a04118e4a4f73,Annual Review 2017,Neither / Not sure / Unclear,,
44,613a802b5c0b64bb69295ff3,Annual Review 2017,Neither / Not sure / Unclear,,
17,61146df02f8f4131c8da6d3c,Annual Review 2017,Neither / Not sure / Unclear,,
94,617287bc1a42a5bc56381cec,Catholic Health System Relies On Juniper Networks To Deliver Secure Network enabled Patient Care,Neither / Not sure / Unclear,,
67,5f3050933b5a04118e4a4f73,Catholic Health System Relies On Juniper Networks To Deliver Secure Network enabled Patient Care,Neither / Not sure / Unclear,,
40,613a802b5c0b64bb69295ff3,Catholic Health System Relies On Juniper Networks To Deliver Secure Network enabled Patient Care,Merger,Catholic Health System ,Juniper Networks
13,61146df02f8f4131c8da6d3c,Catholic Health System Relies On Juniper Networks To Deliver Secure Network enabled Patient Care,Neither / Not sure / Unclear,,
53,613a802b5c0b64bb69295ff3,Catholic Health System Relies On Juniper NetworksTo Deliver Secure Network enabled Patient Care,Acquisition,Catholic Health System,Juniper NetworksTo
80,5f3050933b5a04118e4a4f73,Catholic Health System Relies On Juniper NetworksTo Deliver Secure Network enabled Patient Care,Neither / Not sure / Unclear,,
26,61146df02f8f4131c8da6d3c,Catholic Health System Relies On Juniper NetworksTo Deliver Secure Network enabled Patient Care,Merger,,
107,617287bc1a42a5bc56381cec,Catholic Health System Relies On Juniper NetworksTo Deliver Secure Network enabled Patient Care,Neither / Not sure / Unclear,,
104,617287bc1a42a5bc56381cec,"DIGNITANA AB LANDS THREE KEY CONTRACTS IN U.S.FOR DIGNICAP® SCALP COOLING MEDICAL DEVICE, FUELING GROWTH IN FOURTH QUARTER",Neither / Not sure / Unclear,,
77,5f3050933b5a04118e4a4f73,"DIGNITANA AB LANDS THREE KEY CONTRACTS IN U.S.FOR DIGNICAP® SCALP COOLING MEDICAL DEVICE, FUELING GROWTH IN FOURTH QUARTER",Acquisition,DIGNICAP®,
50,613a802b5c0b64bb69295ff3,"DIGNITANA AB LANDS THREE KEY CONTRACTS IN U.S.FOR DIGNICAP® SCALP COOLING MEDICAL DEVICE, FUELING GROWTH IN FOURTH QUARTER",Neither / Not sure / Unclear,,
