,prolific_id,headline,article_id,response_class,company_1,company_2
342,5f70b6d420717c6a6dcf0773,ACCC clears Healthscope acquisition of Ramsay hospitals,stub_article_id,Acquisition,Healthscope,ACCC
306,616e5ae706e970fe0aff99b6,ACCC clears Healthscope acquisition of Ramsay hospitals,stub_article_id,Neither / Not sure / Unclear,,
137,5c067e6329abc0000199ae45,ACCC seeks comment on News community papers acquisition,stub_article_id,Neither / Not sure / Unclear,,
205,60fec763beec24a798c25e31,ACCC seeks comment on News community papers acquisition,stub_article_id,Neither / Not sure / Unclear,,
193,60fec763beec24a798c25e31,ADV in Saudi Arabia projects via Vertex acquisition,stub_article_id,Neither / Not sure / Unclear,,
337,5f70b6d420717c6a6dcf0773,AGD Mining in financing/acquisition proposal with Cambrian,stub_article_id,Acquisition,Cambrian,AGD Mining
301,616e5ae706e970fe0aff99b6,AGD Mining in financing/acquisition proposal with Cambrian,stub_article_id,Acquisition,AGD Mining,Cambrian
332,5f70b6d420717c6a6dcf0773,ANZ expands alliance with ING in New Zealand,stub_article_id,Merger,ANZ,ING
296,616e5ae706e970fe0aff99b6,ANZ expands alliance with ING in New Zealand,stub_article_id,Neither / Not sure / Unclear,,
42,5cf6d5545d6e680019857203,ASIC says Newcastle Stock Exchange still to improve,stub_article_id,Neither / Not sure / Unclear,,
219,60fabc9b06cc8ca9173f044c,ASIC says Newcastle Stock Exchange still to improve,stub_article_id,Neither / Not sure / Unclear,,
149,5de7d87f1a7af87458d8bf85,ASIC says Newcastle Stock Exchange still to improve,stub_article_id,Neither / Not sure / Unclear,,
9,606f0eee100e0a9f59cc0735,ASIC says Newcastle Stock Exchange still to improve,stub_article_id,Neither / Not sure / Unclear,,
99,605dd566e714dcc87f884853,AVFM merger and acquisition,stub_article_id,Merger,AVFM,
242,60fabc9b06cc8ca9173f044c,Abacus acquires residential infill site in Wodonga,stub_article_id,Acquisition,Abacus,
172,5de7d87f1a7af87458d8bf85,Abacus acquires residential infill site in Wodonga,stub_article_id,Neither / Not sure / Unclear,,
32,606f0eee100e0a9f59cc0735,Abacus acquires residential infill site in Wodonga,stub_article_id,Neither / Not sure / Unclear,,
292,616e5ae706e970fe0aff99b6,Admiralty Resources acquires Argentine ulexite tenements,stub_article_id,Acquisition,Admiralty Resources,
328,5f70b6d420717c6a6dcf0773,Admiralty Resources acquires Argentine ulexite tenements,stub_article_id,Acquisition,Admiralty Resources,
200,60fec763beec24a798c25e31,AdultShop.com buys NZ's leading adult product business,stub_article_id,Acquisition,AdultShop.com,
89,605dd566e714dcc87f884853,Advanced Ocular to acquire new lens technology,stub_article_id,Neither / Not sure / Unclear,,
70,605dd566e714dcc87f884853,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP ,Lundite Energy
173,60fec763beec24a798c25e31,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,,
318,5f70b6d420717c6a6dcf0773,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP and Lundite Energy,
104,5c067e6329abc0000199ae45,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP,Lundite Energy
33,5cf6d5545d6e680019857203,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP,Lundite Energy
140,5de7d87f1a7af87458d8bf85,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP,Aker BP
0,606f0eee100e0a9f59cc0735,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP,Lundite Energy
210,60fabc9b06cc8ca9173f044c,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Mergers,
243,604d603b057fd944c370a451,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP,Lundite Energy
282,616e5ae706e970fe0aff99b6,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,stub_article_id,Merger,Aker BP,Lundite Energy
257,604d603b057fd944c370a451,Alliance Finance completes merger with Centrepoint,stub_article_id,Merger,Alliance Finance,Centrepoint
51,5cf6d5545d6e680019857203,Ambition considering $4.5m acquisition,stub_article_id,Acquisition,Ambition,
231,60fabc9b06cc8ca9173f044c,AngloGold acquires more Trans-Siberian Gold,stub_article_id,Acquisition,AngloGold,
21,606f0eee100e0a9f59cc0735,AngloGold acquires more Trans-Siberian Gold,stub_article_id,Acquisition,AngloGold ,Trans-Siberian Gold
161,5de7d87f1a7af87458d8bf85,AngloGold acquires more Trans-Siberian Gold,stub_article_id,Neither / Not sure / Unclear,,
86,605dd566e714dcc87f884853,Argus not proceeding with Advanced acquisition,stub_article_id,Neither / Not sure / Unclear,,
196,60fec763beec24a798c25e31,Aurox acquires Mt Fraser tenement,stub_article_id,Acquisition,,
54,5cf6d5545d6e680019857203,Aust Wealth Mgmt buys ABN AMRO corporate trust business,stub_article_id,Acquisition,Aust Wealth Mgmt,
8,606f0eee100e0a9f59cc0735,Austar first-quarter profit up 32pc,stub_article_id,Neither / Not sure / Unclear,,
218,60fabc9b06cc8ca9173f044c,Austar first-quarter profit up 32pc,stub_article_id,Neither / Not sure / Unclear,,
148,5de7d87f1a7af87458d8bf85,Austar first-quarter profit up 32pc,stub_article_id,Neither / Not sure / Unclear,,
259,604d603b057fd944c370a451,Axiom Properties issues shares to Pivot Group Pty ltd,stub_article_id,Neither / Not sure / Unclear,,
59,5cf6d5545d6e680019857203,BHP Billiton has 90.6pc of WMC; compulsory acquisition,stub_article_id,Neither / Not sure / Unclear,,
41,5cf6d5545d6e680019857203,BOOM Logistics tips 62pc profit rise; plans acquisition,stub_article_id,Neither / Not sure / Unclear,,
