,Title,Acq_Status,Company 1,Company 2
0,"Scientific Conservation Buys Calix For $12.9M, Changes Name",0,Scientific Conservation,
1,Google Buys Sketch Up,0,Google,Sketch Up
2,"Rentrak buys Nielsen EDI, consolidating box office reporting business",0,Rentrak,Nielsen EDI
3,RBC To Buy BlueBay For US$1.5B,0,RBC ,BlueBay
4,Startup Acquires Web Host eNom,0,,eNom
5,HealthCentral Network Acquires HIV Resources Site TheBody.com,0,HealthCentral Network ,TheBody.com
6,"Imeem Gobbles Up A Young Startup, Anywhere.FM",0,Imeem,Anywhere.FM
7,Havok Acquires 3D Game Engine Provider Trinigy,0,Havok,Trinigy
8,Freeman Acquires Encore Productions,0,Freeman,Encore Productions
9,Bentley Acquires AFL Microchip to Extend AutoPIPE's Market Leadership in High-pressure Plant Environments,0,Bentley,Microprotol
10,"8x8 Announces Acquisition of Central Host, Inc.",0,8x8,"Central Host, Inc."
11,TweetUp Buys Android Twitter Client Twidroid And News Aggregator Popurls,0,Tweetup,Android Twitter Client Twidroid
12,"Nstein Technologies acquires Eurocortex, a leading web content management software provider",0,Nstein Technologies,Eurocortex
13,Memphis Networx Now Part of Zayo Bandwidth,0,Zayo Bandwidth,Memphis Networx
14,SCM Microsystems and Hirsch Electronics to Merge,1,SCM Microsystems,Hirsch Electronics
15,Biomedical Structures buys fellow Warwick biomaterial firm Concordia,0,Biomedical Structures, Concordia
16,Plexxikon Inc. To Join Daiichi Sankyo Group,1,Daiichi Sankyo Group,Plexxikon Inc.
17,PLATO Learning Enters into Merger Agreement with Thoma Bravo,1,PLATO Learning,Thoma Bravo
18,Xspand was acquired by Bear Stearns and is now part of JPMorgan,0,JPMorgan,Xspand
19,Sundrop Purchases Bay Area Startup Pacifica for $20M,0,Sundrop,Pacifica
20,"Theravent (TM) Advanced Nightly Snore Therapy and Provent (R) Sleep Apnea Therapy Now Available Through Theravent, Inc.",2,,
21,"Web 2.0 Finance Startup, Stockopedia raises over $700,000 in bid to transform online UK financial media - See more at: http://www.stockopedia.c",2,,
22,Saft Awarded $1.2 Million Contract by Ball Aerospace to Provide Lithium-ion Battery for LEO Satellite Program,2,,
23,"Goodbye, Cull TV. Hello MOX.",2,,
24,Ambitious plan for the Year 2005 and solid business performance in the Year 2004,2,,
25,Midas Medici's CIMCORP Wins $3 Million Contract for Data Center Solutions in Brazil,2,,
26,RuTube Founders Exit at $15 Million Valuation,2,,
27,Belgacom Gets a Taste of Jinni,2,,
28,Upper Deck Social Panel: Today & Tomorrow,2,,
29,Sina Afra invests in Lidyana,2,,
30,3 Rules You Must Follow If You Want Your Company to Be Exceptional,2,,
31,"urlShort breaks 1,000 shortened URLs",2,,
32,Pfizer ups ante on Santaris RNA discovery deal with $614M pact,2,,
33,"Newly AOL-Free Bebo Adds Hi5, Oodle Executives",2,,
34,How Viral Startups are Making Platform Effects Work for Them,2,,
35,One Two Trade Forex,2,,
36,Top 50 Article Directories List,2,,
37,EditMe - Reviews by PC Magazine,2,,
38,Via @AwesomeTouch on Twitter,2,,
39,Vinnex International Championship 2010,2,,
