,QID,Headline,QType
0,QID67,Countplus acquiring Pacific East Coast,0
1,QID68,Countplus acquiring Pacific East Coast,1
2,QID69,Countplus acquiring Pacific East Coast,2
3,QID72,SMS Management acquiring Pelion Group,0
4,QID73,SMS Management acquiring Pelion Group,1
5,QID74,SMS Management acquiring Pelion Group,2
6,QID77,QMASTOR acquiring Algosys,0
7,QID78,QMASTOR acquiring Algosys,1
8,QID79,QMASTOR acquiring Algosys,2
9,QID82,WorleyParsons acquiring CNEC Engenharia,0
10,QID83,WorleyParsons acquiring CNEC Engenharia,1
11,QID84,WorleyParsons acquiring CNEC Engenharia,2
12,QID87,. Final Report/Profit Release/1:1 Bonus Share I,0
13,QID88,. Final Report/Profit Release/1:1 Bonus Share I,1
14,QID89,. Final Report/Profit Release/1:1 Bonus Share I,2
15,QID92,Cardno acquiring Perth-based Gilbert Rose Consulting,0
16,QID93,Cardno acquiring Perth-based Gilbert Rose Consulting,1
17,QID94,Cardno acquiring Perth-based Gilbert Rose Consulting,2
18,QID97,Resolute continues Syama ramp-up,0
19,QID98,Resolute continues Syama ramp-up,1
20,QID99,Resolute continues Syama ramp-up,2
21,QID102,Autodom acquiring DAIR Industries,0
22,QID103,Autodom acquiring DAIR Industries,1
23,QID104,Autodom acquiring DAIR Industries,2
24,QID107,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,0
25,QID108,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,1
26,QID109,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,2
27,QID112,Ocean Capital acquiring Sunlover Cruises,0
28,QID113,Ocean Capital acquiring Sunlover Cruises,1
29,QID114,Ocean Capital acquiring Sunlover Cruises,2
30,QID117,Greencap acquiring MC2 Pacific,0
31,QID118,Greencap acquiring MC2 Pacific,1
32,QID119,Greencap acquiring MC2 Pacific,2
33,QID122,. Final Report/Media Release/Mgt Discussion Anal,0
34,QID123,. Final Report/Media Release/Mgt Discussion Anal,1
35,QID124,. Final Report/Media Release/Mgt Discussion Anal,2
36,QID127,Blackgold acquiring Qijiang ChangHong Coal,0
37,QID128,Blackgold acquiring Qijiang ChangHong Coal,1
38,QID129,Blackgold acquiring Qijiang ChangHong Coal,2
39,QID132,. Final Report/ASIC Annual Audited A/Cs/Media Rel,0
40,QID133,. Final Report/ASIC Annual Audited A/Cs/Media Rel,1
41,QID134,. Final Report/ASIC Annual Audited A/Cs/Media Rel,2
42,QID137,MIL Resources acquiring Titan Metals,0
43,QID138,MIL Resources acquiring Titan Metals,1
44,QID139,MIL Resources acquiring Titan Metals,2
45,QID142,Synergy Plus acquiring AirData,0
46,QID143,Synergy Plus acquiring AirData,1
47,QID144,Synergy Plus acquiring AirData,2
48,QID147,Paragon Care acquiring Tender Living Care,0
49,QID148,Paragon Care acquiring Tender Living Care,1
50,QID149,Paragon Care acquiring Tender Living Care,2
51,QID152,Orica acquiring Strata Control Systems,0
52,QID153,Orica acquiring Strata Control Systems,1
53,QID154,Orica acquiring Strata Control Systems,2
54,QID157,Zeta acquiring Regal Petroleum Romania,0
55,QID158,Zeta acquiring Regal Petroleum Romania,1
56,QID159,Zeta acquiring Regal Petroleum Romania,2
57,QID162,REPLACE: MIL Resources acquiring Titan Metals,0
58,QID163,REPLACE: MIL Resources acquiring Titan Metals,1
59,QID164,REPLACE: MIL Resources acquiring Titan Metals,2
