,QID,Headline,QType
0,QID67,. Final Report/Profit Release/1:1 Bonus Share I,0
1,QID68,. Final Report/Profit Release/1:1 Bonus Share I,1
2,QID69,. Final Report/Profit Release/1:1 Bonus Share I,2
3,QID72,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,0
4,QID73,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,1
5,QID74,. Monthly Traffic&amp;Capacity Stats-May 2000/Co.Up,2
6,QID77,Resolute continues Syama ramp-up,0
7,QID78,Resolute continues Syama ramp-up,1
8,QID79,Resolute continues Syama ramp-up,2
9,QID82,Cardno acquiring Perth-based Gilbert Rose Consulting,0
10,QID83,Cardno acquiring Perth-based Gilbert Rose Consulting,1
11,QID84,Cardno acquiring Perth-based Gilbert Rose Consulting,2
12,QID87,Ocean Capital acquiring Sunlover Cruises,0
13,QID88,Ocean Capital acquiring Sunlover Cruises,1
14,QID89,Ocean Capital acquiring Sunlover Cruises,2
15,QID92,Blackgold acquiring Qijiang ChangHong Coal,0
16,QID93,Blackgold acquiring Qijiang ChangHong Coal,1
17,QID94,Blackgold acquiring Qijiang ChangHong Coal,2
18,QID97,Synergy Plus acquiring AirData,0
19,QID98,Synergy Plus acquiring AirData,1
20,QID99,Synergy Plus acquiring AirData,2
21,QID102,. Final Report/ASIC Annual Audited A/Cs/Media Rel,0
22,QID103,. Final Report/ASIC Annual Audited A/Cs/Media Rel,1
23,QID104,. Final Report/ASIC Annual Audited A/Cs/Media Rel,2
24,QID107,Zeta acquiring Regal Petroleum Romania,0
25,QID108,Zeta acquiring Regal Petroleum Romania,1
26,QID109,Zeta acquiring Regal Petroleum Romania,2
27,QID112,SMS Management acquiring Pelion Group,0
28,QID113,SMS Management acquiring Pelion Group,1
29,QID114,SMS Management acquiring Pelion Group,2
30,QID117,WorleyParsons acquiring CNEC Engenharia,0
31,QID118,WorleyParsons acquiring CNEC Engenharia,1
32,QID119,WorleyParsons acquiring CNEC Engenharia,2
33,QID122,MIL Resources acquiring Titan Metals,0
34,QID123,MIL Resources acquiring Titan Metals,1
35,QID124,MIL Resources acquiring Titan Metals,2
36,QID127,QMASTOR acquiring Algosys,0
37,QID128,QMASTOR acquiring Algosys,1
38,QID129,QMASTOR acquiring Algosys,2
39,QID132,Countplus acquiring Pacific East Coast,0
40,QID133,Countplus acquiring Pacific East Coast,1
41,QID134,Countplus acquiring Pacific East Coast,2
42,QID137,REPLACE: MIL Resources acquiring Titan Metals,0
43,QID138,REPLACE: MIL Resources acquiring Titan Metals,1
44,QID139,REPLACE: MIL Resources acquiring Titan Metals,2
45,QID142,. Final Report/Media Release/Mgt Discussion Anal,0
46,QID143,. Final Report/Media Release/Mgt Discussion Anal,1
47,QID144,. Final Report/Media Release/Mgt Discussion Anal,2
48,QID147,Orica acquiring Strata Control Systems,0
49,QID148,Orica acquiring Strata Control Systems,1
50,QID149,Orica acquiring Strata Control Systems,2
51,QID152,Greencap acquiring MC2 Pacific,0
52,QID153,Greencap acquiring MC2 Pacific,1
53,QID154,Greencap acquiring MC2 Pacific,2
54,QID157,Autodom acquiring DAIR Industries,0
55,QID158,Autodom acquiring DAIR Industries,1
56,QID159,Autodom acquiring DAIR Industries,2
57,QID162,Paragon Care acquiring Tender Living Care,0
58,QID163,Paragon Care acquiring Tender Living Care,1
59,QID164,Paragon Care acquiring Tender Living Care,2
